site_host,career.connecty.co.jp,dashboardcms-test.connecty.co.jp,docs.cmsod.jp,lottecityhotel.jp,msg.dlt-spl.co.jp,real.dic-estate.co.jp,site1.demo.cmsod.jp,site3.demo.cmsod.jp,sports.dunlop.co.jp,www.afit.jp,www.buonanotte.jp,www.cellseed.com,www.connecty.co.jp,www.daiken-ad.com,www.daiken.jp,www.dcm-hldgs.co.jp,www.dic-color.com,www.dic-decor.co.jp,www.dic-ep.co.jp,www.dic-estate.co.jp,www.dic-global.com,www.dic-graphics.co.jp,www.dic-kako.co.jp,www.dic-material.co.jp,www.dic-plas.co.jp,www.dic200.com,www.difaren.com,www.digisystem.com,www.dlt-spl.co.jp,www.doutor.co.jp,www.fuwapple.jp,www.global.jcb,www.ibanez.com,www.imabarigauze.jp,www.ishimakura.jp,www.jeol.co.jp,www.kuroda-electric.co.jp,www.lemonadestand-pa.jp,www.lotte-isf.or.jp,www.lotte.co.jp,www.luno-nishikawa.jp,www.mmtec.co.jp,www.moussepuff.jp,www.mpuni.co.jp,www.nemuri-soudan.jp,www.nishikawa1566.com,www.nishikawasangyo.co.jp,www.nissay-it.co.jp,www.nisshin.com,www.order-makura.jp,www.paris-miki.co.jp,www.pokkasapporo-fb.jp,www.recomm.co.jp,www.sangetsu.co.jp,www.separel.com,www.shimachu.co.jp,www.shop-salon.jp,www.tama.com,www.tamamarching.com,www.thermos.jp,www.tobishima.co.jp,www.tokyoinst.co.jp,www.ushio.co.jp,www.ushio.com.tw,www.ushiomedical.com,www.watairo.jp,www.with-lemon.jp,www.yamano-music.co.jp
career.connecty.co.jp,1.0,0.8971794506554616,0.7793202005653193,0.8983810001525736,0.8222978326402172,0.7946443588652945,0.7953579543534496,0.8671064302274749,0.9050081598493303,0.8289104237394224,0.8044116426032268,0.8130782891750138,0.5000000000003162,0.8029048765515572,0.5000000000001782,0.9131163427912252,0.5000000000011439,0.792562069805145,0.7799201492944025,0.8135081483855305,0.500000000000087,0.8060383831723006,0.8064572752702095,0.807014275065707,0.8375666588882993,0.8563645620076028,0.8341489775877653,0.8644020831504263,0.5000000000000587,0.8795680644533005,0.90667837232307,0.9102096958396488,0.500000000000082,0.9153824024048882,0.8143017764278853,0.8910742896717301,0.8257827333123047,0.8369811907126818,0.8936096138769252,0.9044301043537523,0.807128794304609,0.8706181763927361,0.9114121154625969,0.8828295128147393,0.8532462985633815,0.8660017547259637,0.9156893623808053,0.8697051373930146,0.9108021142120883,0.8259324268375516,0.8969321289548714,0.5000000000003804,0.8570597206095991,0.8112239915791966,0.8217499050179258,0.9251244615768076,0.9343682999511129,0.5000000000002044,0.748482169053921,0.8896520772599852,0.8912118860480746,0.9090520227342564,0.897722547412978,0.8984371581720576,0.7972002290230569,0.9137109943528244,0.830948931464186,0.5000000000002892
dashboardcms-test.connecty.co.jp,0.8971794506554616,1.0,0.8410310949720516,0.930252036156494,0.8387247723233928,0.8814544073468132,0.8393234366790414,0.8515613093937213,0.9482374758876497,0.88259134037532,0.8708188418956024,0.8976689889418592,0.5000000000003686,0.8718795012095841,0.5000000000002087,0.955275153761536,0.5000000000012922,0.8855138347907098,0.8782267780717825,0.8957870255569232,0.5000000000001181,0.8964357549077415,0.8918900579893927,0.8961995652217442,0.900502164165717,0.9350070820726153,0.9045460876695977,0.8484002721103332,0.5000000000000695,0.8537436027467159,0.9796235725416423,0.89227857106901,0.500000000000112,0.9745310725007055,0.8784234070233656,0.8739788295162768,0.9154140165887035,0.8922363379389784,0.8225929150517688,0.8830541076769673,0.8608531123774696,0.8803739891630457,0.9744427381843961,0.859625638571833,0.901209341483467,0.9286950861432679,0.9715617792621927,0.9415936995131506,0.9335010929372747,0.8631843994449195,0.930992777781509,0.5000000000004327,0.913667374933087,0.7746083375029611,0.906173658552323,0.8598950258246807,0.8627264866758764,0.5000000000002726,0.8513725582579709,0.8463686532136214,0.9480944138196388,0.8839298240997826,0.9708778665873818,0.8449863069661617,0.8837472460221769,0.9746188870482357,0.9152874867622484,0.500000000000272
docs.cmsod.jp,0.7793202005653193,0.8410310949720516,1.0,0.8543662577675037,0.862165924979101,0.8946506390967899,0.9321349864919601,0.9451093825272904,0.8524629604184413,0.90205917535665,0.8860178103803815,0.910404820652388,0.5000000000003312,0.9717221022266034,0.5000000000001908,0.8564614325530062,0.5000000000011341,0.8980490371215888,0.8933311490310126,0.8871217209283511,0.5000000000001332,0.9056048290356764,0.8830387044999064,0.8945135787939431,0.8960358836364757,0.8973962895768781,0.8908206733337964,0.7334093021661804,0.5000000000000555,0.907941115432538,0.8574107976119947,0.8213833390734656,0.500000000000123,0.8323137705116228,0.8924386066003824,0.675863298937662,0.9044177894490308,0.8868651248473909,0.9013320710331196,0.8070211719239214,0.8957660283728883,0.7332169340758558,0.8327540131450752,0.626125257227725,0.8903623952400794,0.9057990023658142,0.8599350637769605,0.8917790166049201,0.8000234879476626,0.8882384110062098,0.876185363590275,0.5000000000003592,0.8865762955635573,0.6534794443942042,0.8818504643838122,0.7866639399647782,0.8020334835898144,0.5000000000003041,0.872751173919559,0.700006106560088,0.8814839108632923,0.7353175265690115,0.8642436265125175,0.8740040654712344,0.8918183843437907,0.8316032027066285,0.9131197169568293,0.5000000000001119
lottecityhotel.jp,0.8983810001525736,0.930252036156494,0.8543662577675037,1.0,0.9235993082989855,0.9282949808953309,0.8668247768099224,0.9029286541173955,0.9603774187902308,0.9396972631660583,0.9216667460099568,0.9241415904153307,0.5000000000003977,0.871107673137427,0.5000000000002236,0.9697065355816485,0.5000000000013949,0.9192030231329934,0.913124851559496,0.939653518770403,0.500000000000129,0.9198101661370182,0.9319018819603471,0.9343104774059448,0.9520662702870671,0.9560163078537283,0.9435525182826732,0.8712103288013298,0.5000000000000718,0.8492164885448139,0.9703210370728136,0.9115902776048239,0.500000000000124,0.9765617418830674,0.9251524028004623,0.8275981531150234,0.9341466091600839,0.9388636859961084,0.8762918850766693,0.8739460923578274,0.9129669377784402,0.7889339602960335,0.9763209351989203,0.8569394986757801,0.9327466722851564,0.9675609855327099,0.9545348826310511,0.934261338403775,0.9466291913185917,0.9218238469541521,0.9729888996294336,0.5000000000004409,0.9561548314366446,0.8335480149721473,0.9403027526622467,0.8783289700982418,0.8609142113479998,0.5000000000003033,0.8930984294875772,0.8685940232715862,0.9454578192231302,0.8801699085884414,0.9536589919344147,0.913764407184501,0.9275483313325333,0.9763997541553511,0.9337957416003684,0.5000000000002409
msg.dlt-spl.co.jp,0.8222978326402172,0.8387247723233928,0.862165924979101,0.9235993082989855,1.0,0.9593388625727172,0.8625802514529652,0.8852435252230932,0.9327928347412696,0.9657449093213106,0.9580943206938692,0.9478100985080751,0.5000000000003875,0.8757141911059545,0.5000000000002256,0.9340352330342887,0.5000000000013632,0.9550416138025266,0.9510174382354815,0.9652753319459468,0.5000000000001431,0.952718804394481,0.9575727947585915,0.9559297364797095,0.9655094782894038,0.9542289351483448,0.9577870400707462,0.7665349845846714,0.5000000000000685,0.8083379908720679,0.8910145929554734,0.8361948823195953,0.5000000000001383,0.8701746145850033,0.9643072679825678,0.6833439827314036,0.9478433474965787,0.9600381404927065,0.8611396169695227,0.7938062224170599,0.9562603012802939,0.688941718737351,0.8700687903790547,0.7065193861096102,0.9642476736369037,0.9533144756674241,0.8989643320464443,0.9280889134611061,0.8706900420529746,0.966537080577689,0.9512945677951602,0.500000000000421,0.9508417678437366,0.6987601495182846,0.9584808814981151,0.7829647830886795,0.8247680027903077,0.5000000000003382,0.9422014568010717,0.7407943885922653,0.9262439820635965,0.7160886563810432,0.9084956592318589,0.8722507608249659,0.9586773416364062,0.8699113118465489,0.9469374677352502,0.5000000000001152
real.dic-estate.co.jp,0.7946443588652945,0.8814544073468132,0.8946506390967899,0.9282949808953309,0.9593388625727172,1.0,0.8935811715550115,0.8709244299985262,0.9524828660145879,0.9908293145869875,0.9948474164607339,0.99315877693262,0.5000000000004161,0.9214764883847499,0.5000000000002351,0.9514881244339901,0.5000000000014355,0.9986327053502293,0.9977952018997558,0.9972472237775818,0.5000000000001605,0.99083529130027,0.9973657430189216,0.9964412147084865,0.991506340967593,0.9765796164383191,0.9925817187038128,0.7365978814277214,0.500000000000072,0.8013757824272911,0.9222255150351271,0.8326671944143516,0.5000000000001544,0.8941912002527315,0.996011824009437,0.6596482069417178,0.9895102789741115,0.9934077471963125,0.817650925048027,0.7565642018670983,0.9894752477952007,0.6889504069495936,0.894270022626479,0.6612248359857354,0.9727606288654748,0.9836095156189442,0.9190032021267944,0.9701617297763714,0.8593814570330385,0.9893255114921413,0.9644326668036824,0.5000000000004414,0.9874488606540788,0.6589032350398984,0.9931622376073947,0.7552241987363604,0.7695027220568122,0.5000000000003761,0.9934083793183508,0.7021995910647704,0.9651828835705385,0.7003562009605447,0.938589352108418,0.844293993981358,0.9987039219831176,0.8941380171779119,0.9891583925078197,0.5000000000000964
site1.demo.cmsod.jp,0.7953579543534496,0.8393234366790414,0.9321349864919601,0.8668247768099224,0.8625802514529652,0.8935811715550115,1.0,0.8919289149727216,0.8614816871747109,0.9009445286441965,0.8733097948322016,0.9028825059710596,0.5000000000003354,0.9704902537414548,0.5000000000001812,0.8542137842239481,0.5000000000011381,0.8937818173850629,0.8864758283185423,0.8890038768995558,0.500000000000132,0.8911394371211669,0.8829966224465842,0.8820111659356948,0.8976104196554477,0.9067436993181341,0.891324351292695,0.7916913697694293,0.5000000000000565,0.8839101724000358,0.8597083741366583,0.861041487558648,0.5000000000001222,0.8407615809770193,0.8956713696289635,0.7057186211776265,0.8958738911266326,0.893550642693367,0.9089917936945637,0.8217110802233474,0.8812025069708307,0.7346017782042948,0.8404911712051575,0.6706933983148179,0.8836787614721399,0.896699099575821,0.8516416287501885,0.8721438454468047,0.8230959811115455,0.8854701150281806,0.8829088112106018,0.5000000000003673,0.895447498237913,0.6870051263427129,0.885804097772146,0.8166355283470967,0.8276821387488335,0.5000000000002972,0.8608298935362785,0.7401314917024857,0.8796329771796058,0.7653497132994409,0.8629435825180531,0.8784666898068418,0.896438605299066,0.8404938280770511,0.8990099947699413,0.5000000000001187
site3.demo.cmsod.jp,0.8671064302274749,0.8515613093937213,0.9451093825272904,0.9029286541173955,0.8852435252230932,0.8709244299985262,0.8919289149727216,1.0,0.8866904884853091,0.9054104855491025,0.8684558908926097,0.8805161038771591,0.5000000000003313,0.9226430883784944,0.5000000000001936,0.8835399854460517,0.5000000000012148,0.8668580759191069,0.8615286766309029,0.8764168636798315,0.5000000000001172,0.8772024500858848,0.8683265750709939,0.8785108811031803,0.9000753755819846,0.8894826851479205,0.8813222518589303,0.8464922619607609,0.5000000000000587,0.9222119579967691,0.8817728079011916,0.8999193943884076,0.5000000000001084,0.871881441010949,0.8776312951424134,0.774866163086452,0.8729950558176041,0.8827921081861481,0.9613395870883927,0.8823102460754619,0.8744569779046782,0.7923980900972982,0.869109636964136,0.7417323282628775,0.8906748360734107,0.9085800395250083,0.8947073956871516,0.8817583369332943,0.8786653357410787,0.8786401906273593,0.9083440625623401,0.5000000000003773,0.8851629878845646,0.7929858510475094,0.8732378664755749,0.8864369135048102,0.895991075018715,0.5000000000002709,0.8306081771038986,0.8146351179015376,0.8824628342766294,0.8264748238263983,0.8854106622676989,0.9439475320679422,0.8675900505323008,0.8699377039711073,0.8838773989941251,0.5000000000001801
sports.dunlop.co.jp,0.9050081598493303,0.9482374758876497,0.8524629604184413,0.9603774187902308,0.9327928347412696,0.9524828660145879,0.8614816871747109,0.8866904884853091,0.9999999999999999,0.9578062206531847,0.9479965811497133,0.9489954850908884,0.5000000000004106,0.8809735478503424,0.5000000000002318,0.9900241246172279,0.5000000000014833,0.9506325120064368,0.9443268639202331,0.9651098094810504,0.5000000000001379,0.9558135569437118,0.9626398015550602,0.9643905990925268,0.9746274762430445,0.9755794780472766,0.9745517450506221,0.863060006348676,0.5000000000000765,0.8555581776465253,0.979890015824951,0.9279974764841143,0.500000000000133,0.961026206114792,0.9541613529357997,0.8287300003331253,0.961838529334258,0.9698700596076772,0.8561861558779407,0.8746656618767447,0.9429515904528516,0.8432785444220909,0.9602598322374658,0.8003121072436852,0.9729614604500637,0.9691932160575725,0.9874205971556709,0.9818901592369316,0.9610370995728049,0.9523080606175047,0.9907359023124983,0.5000000000004706,0.9735627072946902,0.7907774231396631,0.9729591723119622,0.8805099018839124,0.8843211771569519,0.5000000000003245,0.9235390370961651,0.8511257903232756,0.9799081485323582,0.8243908202751402,0.9921235292276749,0.9005384752456436,0.9548028309619261,0.9606921384044197,0.9573665922500927,0.500000000000225
www.afit.jp,0.8289104237394224,0.88259134037532,0.90205917535665,0.9396972631660583,0.9657449093213106,0.9908293145869875,0.9009445286441965,0.9054104855491025,0.9578062206531847,1.0,0.9909266229270852,0.9905377365657317,0.5000000000004154,0.9306918896369258,0.5000000000002359,0.9563041866343968,0.5000000000014586,0.9890192226246401,0.9870374606393038,0.9924282415920511,0.5000000000001575,0.9851099546832448,0.9909568183930826,0.9887496870959582,0.9897671799555652,0.9754539529246629,0.9862196876008213,0.7725563663682706,0.500000000000072,0.8228742052464413,0.9250294568120838,0.8604061829493077,0.5000000000001508,0.9018786022640899,0.9904961928950405,0.6858370544063042,0.976106265646572,0.9906173754404943,0.8538766888431482,0.791665838697049,0.9823925016389701,0.70697956470083,0.9001176730807204,0.6860208656320796,0.9735804460728629,0.9852791478781698,0.9264574956608262,0.9663642970457571,0.8765760150229454,0.987492579087284,0.9730476614753758,0.5000000000004459,0.9867232290399933,0.6972950127929572,0.9877717681186335,0.7880573698171622,0.8047555385852516,0.5000000000003678,0.9784390277753083,0.7374904469912813,0.9668836975139783,0.7306134270462161,0.9421205061356299,0.8709023735906278,0.9896839538140638,0.9010814654485304,0.983310730606425,0.5000000000001149
