site_host,career.connecty.co.jp,dashboardcms-test.connecty.co.jp,docs.cmsod.jp,lottecityhotel.jp,msg.dlt-spl.co.jp,real.dic-estate.co.jp,site1.demo.cmsod.jp,site3.demo.cmsod.jp,sports.dunlop.co.jp,www.afit.jp,www.buonanotte.jp,www.cellseed.com,www.connecty.co.jp,www.daiken-ad.com,www.daiken.jp,www.dcm-hldgs.co.jp,www.dic-color.com,www.dic-decor.co.jp,www.dic-ep.co.jp,www.dic-estate.co.jp,www.dic-global.com,www.dic-graphics.co.jp,www.dic-kako.co.jp,www.dic-material.co.jp,www.dic-plas.co.jp,www.dic200.com,www.difaren.com,www.digisystem.com,www.dlt-spl.co.jp,www.doutor.co.jp,www.fuwapple.jp,www.global.jcb,www.ibanez.com,www.imabarigauze.jp,www.ishimakura.jp,www.jeol.co.jp,www.kuroda-electric.co.jp,www.lemonadestand-pa.jp,www.lotte-isf.or.jp,www.lotte.co.jp,www.luno-nishikawa.jp,www.mmtec.co.jp,www.moussepuff.jp,www.mpuni.co.jp,www.nemuri-soudan.jp,www.nishikawa1566.com,www.nishikawasangyo.co.jp,www.nissay-it.co.jp,www.nisshin.com,www.order-makura.jp,www.paris-miki.co.jp,www.pokkasapporo-fb.jp,www.recomm.co.jp,www.sangetsu.co.jp,www.separel.com,www.shimachu.co.jp,www.shop-salon.jp,www.tama.com,www.tamamarching.com,www.thermos.jp,www.tobishima.co.jp,www.tokyoinst.co.jp,www.ushio.co.jp,www.ushio.com.tw,www.ushiomedical.com,www.watairo.jp,www.with-lemon.jp,www.yamano-music.co.jp
career.connecty.co.jp,1.0,0.010009103366490208,0.007363174972839014,0.0022377202107942452,0.0023994166684050996,0.002644167039775697,0.0075753195061990615,0.009052860552949241,0.0024710318654042785,0.0026450108328500087,0.0026595838992504515,0.0026636486296384133,1.8135044052861104e-15,0.0077369584930413555,1.0295509858065854e-15,0.0025175229018094885,6.176250733103644e-15,0.0026458647207969945,0.0026204130068641683,0.0026583586891416066,7.269651834941667e-16,0.0026207738916287486,0.002659819711025867,0.0026448902414798283,0.002634791617535066,0.0025696472514815517,0.0026602537687749252,0.006108080778346573,3.087011621419674e-16,0.008979640142094684,0.002233671490371393,0.010614043012309117,7.013772594389893e-16,0.0020277205350827977,0.002671146149988815,0.0032834549884537337,0.00264312037688948,0.0026784087216527325,0.009692146584496446,0.008225468044134229,0.0026243819050668815,0.004750338000838556,0.0020206110922795805,0.0035435289520518486,0.002537366531193647,0.002676859142169469,0.0022179725812173207,0.0025988796544009923,0.0016882918932504792,0.002650174604802426,0.0025417013371652653,1.8778034310995073e-15,0.002683112406081526,0.002845646114998713,0.0026460597460593966,0.00889181343835967,0.01051572302830475,1.7060365942338343e-15,0.002564237785541987,0.005068272577217338,0.0026123859670072183,0.005470150079869728,0.002349833163424559,0.01011927942952257,0.002640956900543385,0.002024586634236368,0.002667379965494599,1.3395597040997039e-15
dashboardcms-test.connecty.co.jp,0.010009103366490208,1.0,0.01117406610106147,0.0021273990098971936,0.002309592296113338,0.0026994719183689774,0.010960942346867049,0.010889092760599734,0.0023537250115157433,0.0026048575048343804,0.0026665430864359248,0.0026991465197277777,1.8135044052861104e-15,0.012717184790054086,1.0295509858065854e-15,0.0023882444420513294,6.176250733103644e-15,0.0027157027607659368,0.002709608096508823,0.0026884058072929535,7.269651834941667e-16,0.002671069714349617,0.0027028709816193488,0.00269386789396824,0.0026040427282950423,0.002550413128494981,0.002647556375122805,0.005600495641138797,3.087011621419674e-16,0.008950919276920918,0.0021709692131094156,0.010906758164907828,7.013772594389893e-16,0.0019534983651523837,0.002664985549686988,0.002968224227422501,0.0026756963215453706,0.0026338751274624017,0.008527865768134323,0.00716646536205471,0.0026036179311550874,0.0044306640997620874,0.001952897352422362,0.0031847133757961785,0.0024669204611257878,0.002619043004338948,0.0021281809911696406,0.0025555596043207846,0.0016094367245413526,0.0025824411999889173,0.002411070382401612,1.8778034310995073e-15,0.00262202009058862,0.0026463570104289327,0.00267204476099443,0.006627932326650804,0.007474018221148758,1.7060365942338343e-15,0.002681622318041179,0.00432611470778055,0.002521668126397746,0.004659576090359526,0.0022897841418541547,0.009755277135164143,0.002693152706121343,0.001953251920115312,0.0026858863211022695,1.3395597040997039e-15
docs.cmsod.jp,0.007363174972839014,0.01117406610106147,1.0,0.002023307259158543,0.002322410975034798,0.002694720986414088,0.017236166510951917,0.017796577637499676,0.002199128015572832,0.0026110017500258795,0.002666761740085731,0.0026914405336530387,1.8135044052861104e-15,0.02727388591680096,1.0295509858065854e-15,0.002224149444363725,6.176250733103644e-15,0.0027091693487601566,0.002708920155283583,0.002641455692345467,7.269651834941667e-16,0.002656956492142158,0.0026556785712002033,0.0026594235830955134,0.0025663449324871044,0.0024565639356062116,0.0025918772705519084,0.004747217597520184,3.087011621419674e-16,0.010660882831838513,0.0020090714075826003,0.008784212655665037,7.013772594389893e-16,0.0018074362430658116,0.002662096160918632,0.0025707026035130805,0.0026221014262511225,0.00259492014884432,0.010893664406469652,0.006106132792217993,0.0026397019361486234,0.003741027873358332,0.001807350477748149,0.002677359333121084,0.0024231381273473918,0.002545454714178557,0.0019838804934447316,0.002441449721999376,0.0015180932451944388,0.00260019177579626,0.002304490855583066,1.8778034310995073e-15,0.002543538826488185,0.0024491301158435317,0.002596533368263647,0.005781318357136515,0.006559116158561466,1.7060365942338343e-15,0.0026957418403232283,0.003695698191180895,0.00238495370749995,0.0038924411596134127,0.0021280361147181285,0.010805226935714387,0.0026784954236196714,0.0018065909530526206,0.002648030992949511,1.3395597040997039e-15
lottecityhotel.jp,0.0022377202107942452,0.0021273990098971936,0.002023307259158543,1.0,0.003318751132262914,0.003404444608011154,0.0020451826191917963,0.0021168784549926156,0.0045269823280307715,0.0036864615083701214,0.0032804580165623123,0.003328753428214993,1.8135044052861104e-15,0.00201978906837695,1.0295509858065854e-15,0.005142430136856849,6.176250733103644e-15,0.0032348187247934713,0.003134718985227082,0.003669879785999493,7.269651834941667e-16,0.0032519160729494695,0.003482941776167077,0.0035401624676610777,0.004076793577191843,0.00427758594878125,0.0037918128927386567,0.002381940662770091,3.087011621419674e-16,0.002133177977670435,0.005103242664067762,0.002213084294904871,7.013772594389893e-16,0.00527293168922669,0.0033474508579967558,0.0023314150366611345,0.0035476889942621195,0.003662239296971151,0.002164456433168852,0.002308161215651967,0.0031366520276314763,0.0021659263676502144,0.005246819120952719,0.0025251637376564546,0.0035298775756310062,0.0048173802686630315,0.004098602602952725,0.00356729834809349,0.003011226254659004,0.003290509812623688,0.005392667600757556,1.8778034310995073e-15,0.004235722751425735,0.002358812808727473,0.0036968893660924125,0.0023329853212797507,0.0022357238989963364,1.7060365942338343e-15,0.002863267418766735,0.0024957112585006908,0.003890252416714641,0.002544752269725614,0.004169502547932421,0.002187580288687722,0.0033915124100835246,0.005255334164772196,0.003537716100780442,1.3395597040997039e-15
msg.dlt-spl.co.jp,0.0023994166684050996,0.002309592296113338,0.002322410975034798,0.003318751132262914,1.0,0.005019777730773985,0.002334437636727659,0.0024045008512776755,0.0037408439501380015,0.00545621422271797,0.00495195882797923,0.004466253189346823,1.8135044052861104e-15,0.002314069231019217,1.0295509858065854e-15,0.0037951281402947377,6.176250733103644e-15,0.004789815196638163,0.00460152605258124,0.005411051502470865,7.269651834941667e-16,0.004679729507715411,0.004924187398002598,0.004838526278833681,0.005439145764552531,0.004701608332252197,0.004937923695051591,0.002347813390528886,3.087011621419674e-16,0.002359701304473902,0.002782054036330505,0.002392667099679665,7.013772594389893e-16,0.002388961624776809,0.005339387134742719,0.0019222402031177155,0.0044608043080780575,0.005069581623877768,0.0024580960673382447,0.002403136342606829,0.004856324276997295,0.002093791122970821,0.002387616584420392,0.0020379096556873695,0.005299513572169732,0.004688144020270503,0.0028566050289520663,0.003754501515446444,0.0020711586154164774,0.00551538995150424,0.004468895487936396,1.8778034310995073e-15,0.004580190209178395,0.0019448615847016569,0.004978097268613646,0.002377294293201111,0.0024671989343580877,1.7060365942338343e-15,0.0042585729898997225,0.0022562822308780303,0.003684351379885565,0.002181296768078123,0.0031382010416783645,0.0024397010070297724,0.004984245752723368,0.002386437280007949,0.004425605647968441,1.3395597040997039e-15
real.dic-estate.co.jp,0.002644167039775697,0.0026994719183689774,0.002694720986414088,0.003404444608011154,0.005019777730773985,1.0,0.002709907365058202,0.0027087208500493182,0.00444709231501499,0.011179714225767887,0.015244190220047183,0.013192658673550762,1.8135044052861104e-15,0.0027035146912453697,1.0295509858065854e-15,0.004448506452045755,6.176250733103644e-15,0.029255745496431017,0.02319169733632565,0.020517503533415294,7.269651834941667e-16,0.011345128370359194,0.02114981123849815,0.018151286613741567,0.011406927515133817,0.006721781163110924,0.012382038423272611,0.00251701917496251,3.087011621419674e-16,0.0026527912653516307,0.00326073235793068,0.0027083124119319985,7.013772594389893e-16,0.002611117761044768,0.017210173662907037,0.001982270785787582,0.010504576522897359,0.013165981628231092,0.0026812066980710304,0.002582605251161407,0.010603182509157335,0.002291965256232997,0.002611269491117505,0.0020445914034159522,0.006203718983370469,0.00821398887689386,0.0031607488367894525,0.005985325748130221,0.001985902080930877,0.010441310989153534,0.0052483444091857056,1.8778034310995073e-15,0.009449256576077257,0.0019491285165387675,0.012998123508461149,0.002580035835488881,0.0026126183741172833,1.7060365942338343e-15,0.013575224189873045,0.002343421712327768,0.005475671911047419,0.002345274977349013,0.003813310189025804,0.0027105261680369797,0.029922981099899677,0.002610172276180597,0.010374098268127768,1.3395597040997039e-15
site1.demo.cmsod.jp,0.0075753195061990615,0.010960942346867049,0.017236166510951917,0.0020451826191917963,0.002334437636727659,0.002709907365058202,1.0,0.01283333983342271,0.002220459084718686,0.0026258238464729688,0.0026588014540929895,0.00269497609106201,1.8135044052861104e-15,0.02571924257304855,1.0295509858065854e-15,0.002231580174571073,6.176250733103644e-15,0.0027183374612000854,0.002712585241800394,0.0026611792101911775,7.269651834941667e-16,0.0026469425428146875,0.0026715857824054644,0.002652426336861746,0.0025851304009355354,0.0024867986898776968,0.0026086669758821086,0.005116586707323674,3.087011621419674e-16,0.009827800117486303,0.0020201111490539083,0.009773138939300801,7.013772594389893e-16,0.0018207947383905793,0.0026851580629335048,0.0026208912113131386,0.0026233042704692498,0.0026228428336315304,0.011304728244814974,0.006279941040674272,0.002629115650743771,0.0037515566082218284,0.0018201329005650049,0.0027528837956978746,0.0024266757733940234,0.0025458599173867123,0.0019840956786267333,0.0024248085380641315,0.0015352495593341049,0.0026108946766668943,0.0023260290670425727,1.8778034310995073e-15,0.002574252669266698,0.0024985757803874173,0.002619052010486606,0.006081430264731304,0.0068960563357090224,1.7060365942338343e-15,0.0026882207388696754,0.00383767182278006,0.0023952526269346392,0.004017626017696505,0.0021363953773540036,0.010954291095861329,0.0027045257488075972,0.001820280920287467,0.0026392225698184074,1.3395597040997039e-15
site3.demo.cmsod.jp,0.009052860552949241,0.010889092760599734,0.017796577637499676,0.0021168784549926156,0.0024045008512776755,0.0027087208500493182,0.01283333983342271,1.0,0.002287579250690927,0.0026837323951772133,0.0026914991826085992,0.0026963411509832234,1.8135044052861104e-15,0.015199422161472539,1.0295509858065854e-15,0.0023044540564324833,6.176250733103644e-15,0.002707854384346305,0.002705061474432495,0.0026806946883202944,7.269651834941667e-16,0.0026639234345072135,0.00268552697296061,0.0026897511374860393,0.0026364437155110953,0.0024992015108532737,0.0026334630191055582,0.00564184488409724,3.087011621419674e-16,0.01167995295505304,0.0020715727331085485,0.011251049056882312,7.013772594389893e-16,0.0018695515590229257,0.002694456146780147,0.002766817057542595,0.002622752384395238,0.0026467101421412155,0.016204189130703435,0.0072592511545103355,0.002658923960093498,0.004011033497033692,0.001866381204847878,0.002906693459376686,0.0024778971163589582,0.0026147217971054107,0.002057818340956589,0.0024784845280021272,0.0015853065593250215,0.0026410769542040075,0.0024041804005474903,1.8778034310995073e-15,0.0025988092611558536,0.00269882123883652,0.002637611235718983,0.00714744974519216,0.008297098785864376,1.7060365942338343e-15,0.0026655170843259014,0.004198369792094562,0.0024372083171325977,0.004359096408596671,0.002194940454878852,0.015529015291782442,0.002690639382326856,0.0018673426844981022,0.002655209211099515,1.3395597040997039e-15
sports.dunlop.co.jp,0.0024710318654042785,0.0023537250115157433,0.002199128015572832,0.0045269823280307715,0.0037408439501380015,0.00444709231501499,0.002220459084718686,0.002287579250690927,1.0,0.004719513969453603,0.0042743667289968324,0.004315985920241903,1.8135044052861104e-15,0.002208848998527572,1.0295509858065854e-15,0.009510754347219976,6.176250733103644e-15,0.004370119615359791,0.004140225426565837,0.005112753832517952,7.269651834941667e-16,0.0046112472675032155,0.004950068358975776,0.005064743218675551,0.005955565922641144,0.0061405529318374315,0.005913619988668042,0.002577929135918981,3.087011621419674e-16,0.0023411932972900356,0.006175563021843866,0.0024633163676719607,7.013772594389893e-16,0.0040876201066839925,0.004527448379704722,0.002493579040982136,0.00493786319650259,0.005484608148249344,0.002325669648165815,0.002534162585295195,0.004103485266478711,0.0025905777006054874,0.004052854085853045,0.0023523733858756305,0.005857229009414968,0.005478563119369456,0.0074364456988831075,0.007067359992451131,0.0032193768279375526,0.004459155721675176,0.009865887630062062,1.8778034310995073e-15,0.0058534932137227135,0.0022526187627269615,0.005739980247888445,0.002569086062056175,0.0025177628781463514,1.7060365942338343e-15,0.0035845991371738772,0.0026280230723361264,0.006758154755636403,0.002485889579008858,0.01028610795499615,0.002370715979977612,0.00455036835962838,0.0040720733888528005,0.004692861512763247,1.3395597040997039e-15
www.afit.jp,0.0026450108328500087,0.0026048575048343804,0.0026110017500258795,0.0036864615083701214,0.00545621422271797,0.011179714225767887,0.0026258238464729688,0.0026837323951772133,0.004719513969453603,1.0,0.011248889032153129,0.011030844083460452,1.8135044052861104e-15,0.002620837061807031,1.0295509858065854e-15,0.004686488505009062,6.176250733103644e-15,0.010242404153820743,0.009448404933641243,0.012302092357901657,7.269651834941667e-16,0.00881514757871725,0.011271269704091588,0.01013396672625051,0.010488797766104735,0.0066019993800727666,0.00911603403424898,0.0025675065059083397,3.087011621419674e-16,0.0026168572633915236,0.00332537238096615,0.002683180196442573,7.013772594389893e-16,0.00270194089195181,0.011006495659227185,0.0020262392870913104,0.0069449503597340465,0.011042398470103439,0.002681042436541426,0.002613092319395934,0.008114414951869778,0.0022940618589854414,0.0026815933150213574,0.002081320157401069,0.006321219272422905,0.008679777066790913,0.0033075308534948273,0.00565243987984478,0.002089531528402157,0.009582344042474563,0.006007668630004493,1.8778034310995073e-15,0.00920800857181102,0.002033669773632701,0.009699049240532491,0.002605593232159587,0.002634920002573245,1.7060365942338343e-15,0.007379921949982973,0.0024089235968179673,0.00561904772155646,0.0023890983043374264,0.003931932726927853,0.002677676907595469,0.010569010374044004,0.002692535947328106,0.008310088557399727,1.3395597040997039e-15
