,1923.co.jp,1st-corp.com,247group.co.jp,919.jp,a-dot.co.jp,agent-network.com,agilemedia.jp,agr-urban.co.jp,ahc.co.jp,aicross.co.jp
1923.co.jp,1.0,0.8007488452864022,0.7840726381715388,0.8509906114162178,0.5308768864103778,0.7204537324911058,0.861567383508802,0.20648218368961055,0.7118280598700406,0.68103849652678
1st-corp.com,0.8007488452864022,1.0,0.8310063935671711,0.8842531226991712,0.5168852914733503,0.8068646608884901,0.8239405795785885,0.34661092972556423,0.8650884208632971,0.7787946308255307
247group.co.jp,0.7840726381715388,0.8310063935671711,1.0,0.8958923682151735,0.6796499719357056,0.8817524519212895,0.8990965613746575,0.17094616794645076,0.8046442868222051,0.9447972718195452
919.jp,0.8509906114162178,0.8842531226991712,0.8958923682151735,1.0,0.632351464620044,0.876886041121843,0.926906391652676,0.2625739612327183,0.8760050477974314,0.8396323627340775
a-dot.co.jp,0.5308768864103778,0.5168852914733503,0.6796499719357056,0.632351464620044,1.0,0.7570839693635829,0.6997807720316155,0.10132929808340684,0.5875111904209811,0.6843116212547021
agent-network.com,0.7204537324911058,0.8068646608884901,0.8817524519212895,0.876886041121843,0.7570839693635829,1.0,0.8686680920008529,0.16968303718878952,0.8284500536891304,0.8811344301450134
agilemedia.jp,0.861567383508802,0.8239405795785885,0.8990965613746575,0.926906391652676,0.6997807720316155,0.8686680920008529,1.0,0.2071707090316194,0.8329693276140024,0.8635088351055138
agr-urban.co.jp,0.20648218368961055,0.34661092972556423,0.17094616794645076,0.2625739612327183,0.10132929808340684,0.16968303718878952,0.2071707090316194,1.0,0.35041309655078856,0.11746438877744662
ahc.co.jp,0.7118280598700406,0.8650884208632971,0.8046442868222051,0.8760050477974314,0.5875111904209811,0.8284500536891304,0.8329693276140024,0.35041309655078856,1.0,0.7394337117382234
aicross.co.jp,0.68103849652678,0.7787946308255307,0.9447972718195452,0.8396323627340775,0.6843116212547021,0.8811344301450134,0.8635088351055138,0.11746438877744662,0.7394337117382234,1.0
